Project_Accession,Total_Attributes,Alias,dee2_url,has_dee2
PRJNA804535,175,SRP358942,https://dee2.io/huge/athaliana/SRP358942_GSE196370.zip,True
PRJNA803178,175,SRP358094,https://dee2.io/huge/athaliana/SRP358094_GSE196053.zip,True
PRJNA314692,175,SRP071310,https://dee2.io/huge/athaliana/SRP071310_GSE79012.zip,True
PRJNA421364,175,SRP126292,https://dee2.io/huge/athaliana/SRP126292_GSE107786.zip,True
PRJNA1118747,175,SRP511048,,False
PRJNA290078,175,SRP061231,https://dee2.io/huge/athaliana/SRP061231_GSE71002.zip,True
PRJNA295091,175,SRP063471,https://dee2.io/huge/athaliana/SRP063471_GSE72806.zip,True
PRJNA744433,175,SRP327331,https://dee2.io/huge/athaliana/SRP327331_GSE179635.zip,True
PRJNA925827,175,SRP418417,https://dee2.io/huge/athaliana/SRP418417_GSE223330.zip,True
PRJNA302003,175,SRP066116,https://dee2.io/huge/athaliana/SRP066116_GSE74955.zip,True
PRJNA527732,174,SRP188687,https://dee2.io/huge/athaliana/SRP188687_GSE128434.zip,True
PRJNA433874,173,SRP132727,https://dee2.io/huge/athaliana/SRP132727_GSE110500.zip,True
PRJNA708256,173,SRP309953,,False
PRJNA744559,172,SRP327413,https://dee2.io/huge/athaliana/SRP327413_GSE179697.zip,True
PRJNA1019271,172,SRP461945,https://dee2.io/huge/athaliana/SRP461945_GSE243624.zip,True
PRJNA453570,169,SRP142625,https://dee2.io/huge/athaliana/SRP142625_GSE113677.zip,True
PRJNA1036575,167,SRP470539,https://dee2.io/huge/athaliana/SRP470539_GSE247174.zip,True
PRJNA269310,165,SRP050570,https://dee2.io/huge/athaliana/SRP050570_GSE63879.zip,True
PRJNA270874,165,SRP051392,,False
PRJNA170237,164,SRP014178,https://dee2.io/huge/athaliana/SRP014178_GSE39214.zip,True
PRJNA433497,164,SRP132470,,False
PRJNA357201,164,SRP095010,https://dee2.io/huge/athaliana/SRP095010_GSE92314.zip,True
PRJNA389309,164,SRP108633,,False
PRJNA388207,163,SRP108133,https://dee2.io/huge/athaliana/SRP108133_GSE99367.zip,True
PRJNA553702,163,SRP214076,https://dee2.io/huge/athaliana/SRP214076_GSE134079.zip,True
PRJNA341576,163,SRP084243,https://dee2.io/huge/athaliana/SRP084243_GSE86380.zip,True
PRJNA385496,163,SRP106473,https://dee2.io/huge/athaliana/SRP106473_GSE98553.zip,True
PRJNA419538,163,SRP125498,https://dee2.io/huge/athaliana/SRP125498_GSE107276.zip,True
PRJNA556865,163,SRP216517,https://dee2.io/huge/athaliana/SRP216517_GSE134945.zip,True
PRJNA558807,163,SRP218253,https://dee2.io/huge/athaliana/SRP218253_GSE135422.zip,True
PRJNA604023,163,SRP246179,https://dee2.io/huge/athaliana/SRP246179_GSE144560.zip,True
PRJNA608263,163,SRP250465,https://dee2.io/huge/athaliana/SRP250465_GSE145795.zip,True
PRJNA311178,163,SRP069764,https://dee2.io/huge/athaliana/SRP069764_GSE77672.zip,True
PRJNA342005,163,SRP086708,https://dee2.io/huge/athaliana/SRP086708_GSE86471.zip,True
PRJNA766686,163,SRP338944,https://dee2.io/huge/athaliana/SRP338944_GSE184872.zip,True
PRJNA744409,163,SRP327317,https://dee2.io/huge/athaliana/SRP327317_GSE179628.zip,True
PRJNA511129,163,SRP174146,https://dee2.io/huge/athaliana/SRP174146_GSE124235.zip,True
PRJNA320883,163,SRP074486,https://dee2.io/huge/athaliana/SRP074486_GSE81205.zip,True
PRJNA399521,163,SRP115958,https://dee2.io/huge/athaliana/SRP115958_GSE102950.zip,True
PRJNA487079,163,SRP158529,,False
PRJNA566098,163,SRP222257,https://dee2.io/huge/athaliana/SRP222257_GSE137625.zip,True
PRJNA259631,163,SRP045820,https://dee2.io/huge/athaliana/SRP045820_GSE60826.zip,True
PRJNA757244,163,SRP333850,https://dee2.io/huge/athaliana/SRP333850_GSE182639.zip,True
PRJNA260855,163,SRP047055,https://dee2.io/huge/athaliana/SRP047055_GSE61362.zip,True
PRJNA787244,163,SRP349824,https://dee2.io/huge/athaliana/SRP349824_GSE190467.zip,True
PRJNA933934,163,SRP422064,https://dee2.io/huge/athaliana/SRP422064_GSE225107.zip,True
PRJNA649267,161,SRP273996,,False
PRJNA625345,161,SRP256398,https://dee2.io/huge/athaliana/SRP256398_GSE148670.zip,True
PRJNA451508,161,SRP142348,https://dee2.io/huge/athaliana/SRP142348_GSE113557.zip,True
PRJNA1036537,160,SRP470537,https://dee2.io/huge/athaliana/SRP470537_GSE247158.zip,True
PRJNA285810,160,SRP059041,,False
PRJNA926355,159,SRP418630,,False
PRJNA949668,158,SRP429792,https://dee2.io/huge/athaliana/SRP429792_GSE228426.zip,True
PRJNA737797,157,SRP324131,https://dee2.io/huge/athaliana/SRP324131_GSE178241.zip,True
PRJNA432917,157,SRP132174,https://dee2.io/huge/athaliana/SRP132174_GSE110125.zip,True
PRJNA749760,157,SRP329913,https://dee2.io/huge/athaliana/SRP329913_GSE180839.zip,True
PRJNA853318,157,SRP383790,,False
PRJNA321470,157,SRP074999,https://dee2.io/huge/athaliana/SRP074999_GSE81401.zip,True
PRJNA943236,155,SRP426622,,False
PRJNA844351,152,SRP378006,https://dee2.io/huge/athaliana/SRP378006_GSE205296.zip,True
PRJNA1075043,152,SRP489101,https://dee2.io/huge/athaliana/SRP489101_GSE255443.zip,True
PRJNA1001037,152,SRP452634,https://dee2.io/huge/athaliana/SRP452634_GSE239833.zip,True
PRJNA933653,152,SRP421887,https://dee2.io/huge/athaliana/SRP421887_GSE225072.zip,True
PRJNA564278,151,SRP220660,https://dee2.io/huge/athaliana/SRP220660_GSE137009.zip,True
PRJNA389285,151,SRP108611,https://dee2.io/huge/athaliana/SRP108611_GSE99677.zip,True
PRJNA577206,151,SRP226805,,False
PRJNA288172,151,SRP059890,https://dee2.io/huge/athaliana/SRP059890_GSE70290.zip,True
PRJNA565696,151,SRP221724,,False
PRJNA867717,151,SRP390739,https://dee2.io/huge/athaliana/SRP390739_GSE210860.zip,True
PRJNA1062790,151,SRP482746,https://dee2.io/huge/athaliana/SRP482746_GSE252832.zip,True
PRJNA813592,151,SRP362933,https://dee2.io/huge/athaliana/SRP362933_GSE198092.zip,True
PRJNA1037151,151,SRP470906,https://dee2.io/huge/athaliana/SRP470906_GSE247357.zip,True
PRJNA788402,151,SRP350493,,False
PRJNA954814,151,SRP432248,https://dee2.io/huge/athaliana/SRP432248_GSE229511.zip,True
PRJNA487051,151,SRP158513,https://dee2.io/huge/athaliana/SRP158513_GSE118854.zip,True
PRJNA881599,150,SRP397806,https://dee2.io/huge/athaliana/SRP397806_GSE213583.zip,True
PRJNA349052,150,SRP091720,,False
PRJNA880805,149,SRP397557,https://dee2.io/huge/athaliana/SRP397557_GSE213405.zip,True
PRJNA352201,149,SRP092447,https://dee2.io/huge/athaliana/SRP092447_GSE89433.zip,True
PRJNA649438,148,SRP274096,,False
PRJNA602727,148,SRP244078,https://dee2.io/huge/athaliana/SRP244078_GSE144091.zip,True
PRJNA352683,148,SRP092754,,False
PRJNA562704,147,SRP219510,,False
PRJNA399864,147,SRP116095,https://dee2.io/huge/athaliana/SRP116095_GSE103041.zip,True
PRJNA360334,146,SRP096152,,False
PRJNA919077,143,SRP416223,https://dee2.io/huge/athaliana/SRP416223_GSE222356.zip,True
PRJNA592361,143,SRP233666,,False
PRJNA879695,142,SRP396754,https://dee2.io/huge/athaliana/SRP396754_GSE213185.zip,True
PRJNA679226,142,SRP293071,https://dee2.io/huge/athaliana/SRP293071_GSE161704.zip,True
PRJNA701753,142,SRP306303,https://dee2.io/huge/athaliana/SRP306303_GSE166728.zip,True
PRJNA632653,141,SRP261520,,False
PRJNA167967,140,SRP013533,https://dee2.io/huge/athaliana/SRP013533_GSE38400.zip,True
PRJNA796611,139,SRP354761,https://dee2.io/huge/athaliana/SRP354761_GSE193570.zip,True
PRJNA967286,138,SRP435965,,False
PRJNA218537,138,SRP029707,,False
PRJNA630754,137,SRP260311,https://dee2.io/huge/athaliana/SRP260311_GSE149995.zip,True
PRJNA294094,137,SRP062911,https://dee2.io/huge/athaliana/SRP062911_GSE72461.zip,True
PRJNA486344,137,SRP158137,https://dee2.io/huge/athaliana/SRP158137_GSE118651.zip,True
PRJNA526668,136,SRP188198,,False
PRJNA925510,135,SRP418301,https://dee2.io/huge/athaliana/SRP418301_GSE223278.zip,True
PRJNA806646,135,SRP359627,https://dee2.io/huge/athaliana/SRP359627_GSE196636.zip,True
PRJNA655254,135,SRP275850,https://dee2.io/huge/athaliana/SRP275850_GSE155710.zip,True
PRJNA479861,133,SRP152313,https://dee2.io/huge/athaliana/SRP152313_GSE116681.zip,True
PRJNA448672,133,SRP137051,https://dee2.io/huge/athaliana/SRP137051_GSE112662.zip,True
PRJNA259680,133,SRP045843,https://dee2.io/huge/athaliana/SRP045843_GSE60865.zip,True
PRJNA750922,133,SRP330536,https://dee2.io/huge/athaliana/SRP330536_GSE181167.zip,True
PRJNA254505,131,SRP044116,https://dee2.io/huge/athaliana/SRP044116_GSE59154.zip,True
PRJNA639789,131,SRP267518,,False
PRJNA351855,130,SRP092341,,False
PRJNA317179,127,SRP072774,https://dee2.io/huge/athaliana/SRP072774_GSE79839.zip,True
PRJNA344695,127,SRP090526,https://dee2.io/huge/athaliana/SRP090526_GSE87415.zip,True
PRJNA736856,127,SRP323708,https://dee2.io/huge/athaliana/SRP323708_GSE177028.zip,True
PRJNA395465,127,SRP113410,https://dee2.io/huge/athaliana/SRP113410_GSE101782.zip,True
PRJNA716169,127,SRP311577,https://dee2.io/huge/athaliana/SRP311577_GSE169284.zip,True
PRJNA270886,125,SRP051400,,False
PRJNA861304,125,SRP387625,https://dee2.io/huge/athaliana/SRP387625_GSE209594.zip,True
PRJNA616378,124,SRP254665,https://dee2.io/huge/athaliana/SRP254665_GSE147793.zip,True
PRJNA479446,124,SRP151891,https://dee2.io/huge/athaliana/SRP151891_GSE116582.zip,True
PRJNA485348,124,SRP156937,https://dee2.io/huge/athaliana/SRP156937_GSE118371.zip,True
PRJNA776278,124,SRP343767,https://dee2.io/huge/athaliana/SRP343767_GSE186842.zip,True
PRJEB35753,122,ERP118861,https://dee2.io/huge/athaliana/ERP118861_NA.zip,True
PRJNA555390,122,SRP215328,https://dee2.io/huge/athaliana/SRP215328_GSE134516.zip,True
PRJNA389675,122,SRP108830,https://dee2.io/huge/athaliana/SRP108830_GSE99805.zip,True
PRJNA1014466,120,SRP459352,,False
PRJNA772975,120,SRP342274,https://dee2.io/huge/athaliana/SRP342274_GSE186212.zip,True
PRJNA524194,119,SRP186822,https://dee2.io/huge/athaliana/SRP186822_GSE127146.zip,True
PRJNA480717,119,SRP153116,,False
PRJNA988452,119,SRP446296,https://dee2.io/huge/athaliana/SRP446296_GSE236025.zip,True
PRJNA613456,119,SRP253340,https://dee2.io/huge/athaliana/SRP253340_GSE147225.zip,True
PRJNA764192,119,SRP337613,,False
PRJNA362994,119,SRP097657,https://dee2.io/huge/athaliana/SRP097657_GSE93979.zip,True
PRJNA638540,119,SRP266735,https://dee2.io/huge/athaliana/SRP266735_GSE152166.zip,True
PRJNA342301,119,SRP087624,https://dee2.io/huge/athaliana/SRP087624_GSE86581.zip,True
PRJNA188503,119,SRP018404,https://dee2.io/huge/athaliana/SRP018404_GSE44062.zip,True
PRJNA235219,119,SRP035440,https://dee2.io/huge/athaliana/SRP035440_GSE54125.zip,True
PRJNA638678,119,SRP266840,,False
PRJNA322671,119,SRP075658,https://dee2.io/huge/athaliana/SRP075658_GSE81837.zip,True
PRJNA795495,118,SRP354000,https://dee2.io/huge/athaliana/SRP354000_GSE193252.zip,True
PRJNA1053328,117,SRP478327,https://dee2.io/huge/athaliana/SRP478327_GSE250299.zip,True
PRJNA407986,117,SRP118154,https://dee2.io/huge/athaliana/SRP118154_GSE104028.zip,True
PRJNA205864,116,SRP023272,,False
PRJNA485134,115,SRP156748,https://dee2.io/huge/athaliana/SRP156748_GSE118298.zip,True
PRJNA262970,115,SRP048616,https://dee2.io/huge/athaliana/SRP048616_GSE62024.zip,True
