Project_Accession,Total_Attributes
PRJNA429247,416
PRJNA868735,415
PRJNA394661,413
PRJNA433501,413
PRJNA198192,410
PRJNA554145,403
PRJNA263595,403
PRJNA613690,399
PRJNA720907,399
PRJNA595605,398
PRJNA279505,392
PRJNA359478,391
PRJNA942274,391
PRJNA521689,391
PRJNA703036,386
PRJNA721411,382
PRJNA543989,379
PRJNA513852,371
PRJNA384359,371
PRJNA216987,371
PRJNA685167,371
PRJNA300685,371
PRJNA531168,368
PRJNA790929,368
PRJNA514040,367
PRJNA901957,367
PRJNA933126,367
PRJNA842228,367
PRJNA977810,367
PRJNA601526,367
PRJNA594026,367
PRJNA688924,367
PRJNA491484,367
PRJNA624317,367
PRJNA1025000,365
PRJNA437500,364
PRJNA792341,362
PRJNA427432,359
PRJNA554610,358
PRJNA751488,355
PRJNA312219,352
PRJNA723009,349
PRJNA681186,347
PRJNA609240,345
PRJNA435737,345
PRJNA752148,344
PRJNA746250,344
PRJNA951436,343
PRJNA765962,343
PRJNA902769,343
PRJNA723054,343
PRJNA736396,343
PRJNA916502,343
PRJNA833078,343
PRJNA847965,343
PRJNA681183,343
PRJNA629545,343
PRJEB20931,332
PRJNA279272,331
PRJNA449619,331
PRJNA522058,330
PRJNA702173,330
PRJNA975601,328
PRJNA351870,322
PRJNA529715,322
PRJNA373836,320
PRJNA753100,320
PRJNA563055,320
PRJNA717244,320
PRJNA730562,320
PRJNA415950,319
PRJNA671859,319
PRJNA646744,319
PRJNA858805,319
PRJNA667059,319
PRJNA274887,319
PRJNA1118315,319
PRJNA271131,319
PRJNA302602,315
PRJNA827180,313
PRJNA428240,313
PRJNA844303,307
PRJNA1079711,307
PRJNA282742,307
PRJNA231710,307
PRJNA811774,306
PRJNA485633,304
PRJNA543995,301
PRJNA481969,301
PRJEB39363,298
PRJNA779531,295
PRJNA323943,295
PRJNA945828,295
PRJNA490087,294
PRJNA645828,293
PRJNA384185,293
PRJNA888981,293
PRJNA546251,290
PRJNA390146,289
PRJNA474441,287
PRJNA326659,287
PRJNA722743,287
PRJNA593500,287
PRJNA981151,287
PRJNA369824,285
PRJNA484219,285
PRJNA595951,283
PRJNA692443,283
PRJNA388445,281
PRJNA684322,281
PRJNA484637,280
PRJNA587704,280
PRJNA649293,278
PRJNA811122,277
PRJNA807632,277
PRJNA1035518,277
PRJNA395664,277
PRJNA846305,273
PRJNA414399,273
PRJNA707060,271
PRJNA449910,264
PRJNA832333,264
PRJNA326408,264
PRJNA308080,263
PRJNA490893,262
PRJNA287644,262
PRJNA288783,261
PRJNA323732,260
PRJNA782298,260
PRJNA933625,259
PRJNA421355,259
PRJNA511473,259
PRJNA591466,259
PRJNA471243,259
PRJNA608657,259
PRJNA762245,259
PRJNA601157,259
PRJNA609667,259
PRJNA544565,257
PRJNA978596,257
PRJNA412106,254
PRJNA597767,254
PRJNA294703,253
PRJNA890279,253
PRJNA561790,250
PRJNA379964,248
PRJNA531668,248
PRJNA532611,247
PRJNA151239,247
PRJNA1045678,247
PRJNA736042,247
PRJNA237959,247
PRJNA524935,247
PRJNA445392,247
PRJNA858665,245
PRJNA548174,244
PRJNA899438,243
PRJNA640823,242
PRJNA714877,241
PRJNA860564,241
PRJNA251597,241
PRJNA738168,241
PRJNA940452,241
PRJNA667267,241
PRJNA822388,241
PRJNA494693,239
PRJNA369530,239
PRJNA316982,238
PRJEB22967,238
PRJNA762916,237
PRJNA639731,233
PRJNA726555,232
PRJNA438316,232
PRJNA339000,232
PRJNA429185,231
PRJNA860957,231
PRJNA620359,231
PRJNA642871,231
PRJNA913107,231
PRJNA799378,231
PRJEB2457,228
PRJNA412889,223
PRJNA495850,223
PRJNA867337,223
PRJNA909785,223
PRJNA719729,223
PRJNA806662,223
PRJNA809747,223
PRJEB58839,220
PRJNA369751,218
PRJNA433852,217
PRJNA529202,217
PRJNA1055983,216
PRJNA507972,215
PRJNA884701,215
PRJNA540255,215
PRJNA722928,214
PRJNA525452,213
PRJNA906465,212
PRJNA525432,211
PRJNA890568,211
PRJNA658907,211
PRJNA122227,210
PRJNA493255,207
PRJNA338073,204
PRJNA314484,203
PRJNA542790,203
PRJNA391955,203
PRJNA736615,203
PRJNA875132,203
PRJNA308073,202
PRJNA788534,202
PRJNA318516,202
PRJNA978578,202
PRJNA875917,200
PRJNA780919,200
PRJNA169134,199
PRJNA1013049,199
PRJNA1031962,199
PRJNA317322,197
PRJNA472997,195
PRJNA170665,195
PRJNA388398,193
PRJNA230117,192
PRJNA594413,188
PRJNA472051,187
PRJNA380344,187
PRJNA336549,187
PRJNA315864,187
PRJNA724737,187
PRJNA675765,187
PRJNA903179,187
PRJNA953419,187
PRJNA317722,187
PRJNA941921,187
PRJNA601525,187
PRJNA912137,187
PRJNA638261,187
PRJNA294786,187
PRJNA477336,187
PRJNA384979,187
PRJNA1107978,187
PRJNA525282,187
PRJNA318748,186
PRJNA998749,183
PRJEB47885,182
PRJNA843782,182
PRJNA791363,177
PRJNA839338,176
PRJNA336060,176
PRJNA472080,176
PRJNA632508,176
PRJNA647212,176
PRJNA276444,176
PRJNA232493,176
PRJNA989599,176
PRJNA641352,176
PRJNA982119,175
PRJNA481007,175
PRJNA380922,175
PRJNA238653,175
PRJNA705455,175
PRJNA358157,175
PRJNA648424,175
PRJNA528416,175
PRJNA331045,175
PRJNA607059,175
PRJNA804535,175
PRJNA803178,175
PRJNA314692,175
PRJNA421364,175
PRJNA1118747,175
PRJNA290078,175
PRJNA295091,175
PRJNA744433,175
PRJNA925827,175
PRJNA302003,175
PRJNA527732,174
PRJNA433874,173
PRJNA708256,173
PRJNA744559,172
PRJNA1019271,172
PRJNA453570,169
PRJNA1036575,167
PRJNA269310,165
PRJNA270874,165
PRJNA170237,164
PRJNA433497,164
PRJNA357201,164
PRJNA389309,164
PRJNA388207,163
PRJNA553702,163
PRJNA341576,163
PRJNA385496,163
PRJNA419538,163
PRJNA556865,163
PRJNA558807,163
PRJNA604023,163
PRJNA608263,163
PRJNA311178,163
PRJNA342005,163
PRJNA766686,163
PRJNA744409,163
PRJNA511129,163
PRJNA320883,163
PRJNA399521,163
PRJNA487079,163
PRJNA566098,163
PRJNA259631,163
PRJNA757244,163
PRJNA260855,163
PRJNA787244,163
PRJNA933934,163
PRJNA649267,161
PRJNA625345,161
PRJNA451508,161
PRJNA1036537,160
PRJNA285810,160
PRJNA926355,159
PRJNA949668,158
PRJNA737797,157
PRJNA432917,157
PRJNA749760,157
PRJNA853318,157
PRJNA321470,157
PRJNA943236,155
PRJNA844351,152
PRJNA1075043,152
PRJNA1001037,152
PRJNA933653,152
PRJNA564278,151
PRJNA389285,151
PRJNA577206,151
PRJNA288172,151
PRJNA565696,151
PRJNA867717,151
PRJNA1062790,151
PRJNA813592,151
PRJNA1037151,151
PRJNA788402,151
PRJNA954814,151
PRJNA487051,151
PRJNA881599,150
PRJNA349052,150
PRJNA880805,149
PRJNA352201,149
PRJNA649438,148
PRJNA602727,148
PRJNA352683,148
PRJNA562704,147
PRJNA399864,147
PRJNA360334,146
PRJNA919077,143
PRJNA592361,143
PRJNA879695,142
PRJNA679226,142
PRJNA701753,142
PRJNA632653,141
PRJNA167967,140
PRJNA796611,139
PRJNA967286,138
PRJNA218537,138
PRJNA630754,137
PRJNA294094,137
PRJNA486344,137
PRJNA526668,136
PRJNA925510,135
PRJNA806646,135
PRJNA655254,135
PRJNA479861,133
PRJNA448672,133
PRJNA259680,133
PRJNA750922,133
PRJNA254505,131
PRJNA639789,131
PRJNA351855,130
PRJNA317179,127
PRJNA344695,127
PRJNA736856,127
PRJNA395465,127
PRJNA716169,127
PRJNA270886,125
PRJNA861304,125
PRJNA616378,124
PRJNA479446,124
PRJNA485348,124
PRJNA776278,124
PRJEB35753,122
PRJNA555390,122
PRJNA389675,122
PRJNA1014466,120
PRJNA772975,120
PRJNA524194,119
PRJNA480717,119
PRJNA988452,119
PRJNA613456,119
PRJNA764192,119
PRJNA362994,119
PRJNA638540,119
PRJNA342301,119
PRJNA188503,119
PRJNA235219,119
PRJNA638678,119
PRJNA322671,119
PRJNA795495,118
PRJNA1053328,117
PRJNA407986,117
PRJNA205864,116
PRJNA485134,115
PRJNA262970,115
PRJNA151589,115
PRJNA903916,115
PRJNA523248,115
PRJNA379206,115
PRJNA1050300,115
PRJEB12413,115
PRJNA385669,112
PRJNA169403,112
PRJNA428511,112
PRJNA781852,112
PRJNA448580,112
PRJNA839434,111
PRJNA397064,111
PRJNA691879,111
PRJNA386485,111
PRJNA551939,111
PRJNA599395,111
PRJNA384192,111
PRJNA913128,111
PRJNA721401,111
PRJNA209644,111
PRJNA566137,111
PRJNA244662,111
PRJNA146209,110
PRJNA814690,109
PRJNA639782,109
PRJNA1093123,109
PRJNA976655,109
PRJNA169669,107
PRJNA532420,104
PRJNA925168,104
PRJNA369328,104
PRJNA511488,104
PRJNA244365,104
PRJNA588415,104
PRJNA254703,103
PRJNA285758,103
PRJNA196838,103
PRJNA678733,103
PRJNA1011298,103
PRJNA1043393,103
PRJNA687751,101
PRJNA499084,101
PRJNA153225,98
PRJNA270526,97
PRJNA1092698,97
PRJNA296039,97
PRJNA824442,97
PRJNA429126,97
PRJNA381131,97
PRJNA360412,97
PRJNA362641,97
PRJNA321410,97
PRJNA428403,97
PRJNA225010,96
PRJNA643282,95
PRJNA488719,95
PRJNA79729,93
PRJNA131113,93
PRJNA534210,93
PRJNA310222,92
PRJNA896232,92
PRJNA505666,92
PRJNA374856,91
PRJNA726641,91
PRJNA996130,91
PRJNA434810,91
PRJNA209324,91
PRJNA533237,91
PRJNA757754,91
PRJNA273631,91
PRJNA514309,91
PRJNA508784,91
PRJNA380201,91
PRJNA548091,91
PRJNA591124,91
PRJNA419486,91
PRJNA379933,91
PRJNA286795,91
PRJNA149369,91
PRJNA957136,89
PRJNA352042,87
PRJNA336041,87
PRJNA637085,87
PRJNA316811,86
PRJNA898333,86
PRJNA394842,86
PRJNA699482,86
PRJNA510312,86
PRJNA378528,86
PRJNA355875,85
PRJNA785252,85
PRJNA354330,85
PRJNA722862,85
PRJNA387926,85
PRJNA540606,85
PRJNA553510,85
PRJNA760904,85
PRJNA559286,85
PRJNA646755,85
PRJNA271395,85
PRJNA660962,85
PRJNA281884,85
PRJNA143331,85
PRJNA578729,85
PRJNA547995,85
PRJNA380890,85
PRJNA683624,84
PRJNA832295,83
PRJNA284487,83
PRJNA714396,82
PRJNA381799,80
PRJNA413141,80
PRJNA313326,79
PRJNA749004,79
PRJNA658111,79
PRJNA957462,79
PRJNA291520,79
PRJNA611706,79
PRJNA689568,79
PRJNA497270,79
PRJNA356373,79
PRJNA828457,79
PRJNA418121,77
PRJNA830475,77
PRJNA814226,77
PRJNA429462,75
PRJNA679954,73
PRJNA812776,73
PRJNA274783,73
PRJNA833205,73
PRJNA833672,73
PRJNA686950,73
PRJNA601158,73
PRJNA407793,72
PRJNA759614,72
PRJNA339862,72
PRJNA687636,70
PRJNA229991,68
PRJNA316152,68
PRJNA114507,68
PRJNA926932,68
PRJNA916262,67
PRJNA548566,67
PRJNA927819,67
PRJNA253122,67
PRJNA796288,67
PRJNA767322,66
PRJNA594286,65
PRJNA720939,65
PRJNA478857,65
PRJNA641827,65
PRJNA389738,64
PRJNA677901,64
PRJNA605023,63
PRJNA416458,63
PRJNA285077,63
PRJNA137341,63
PRJNA660407,63
PRJNA730707,63
PRJNA318266,63
PRJNA117297,63
PRJNA786498,61
PRJNA1063220,61
PRJNA136131,61
PRJNA251821,60
PRJNA260678,60
PRJNA155427,60
PRJNA509070,59
PRJNA146353,59
PRJNA535489,59
PRJNA540493,59
PRJNA136741,59
PRJNA504761,59
PRJNA357198,59
PRJNA304316,59
PRJNA464058,59
PRJNA317738,59
PRJNA388384,59
PRJNA719557,59
PRJNA414048,59
PRJNA638530,59
PRJNA736240,58
PRJNA482577,56
PRJNA280956,56
PRJNA230627,55
PRJNA208889,55
PRJNA214919,55
PRJNA315850,55
PRJNA347858,55
PRJNA189938,55
PRJNA609762,55
PRJNA339018,55
PRJNA756175,55
PRJNA892489,54
PRJNA353651,53
PRJNA384582,52
PRJEB50694,52
PRJNA506260,50
PRJNA691247,50
PRJNA297369,49
PRJNA449688,49
PRJNA173828,49
PRJNA562027,49
PRJNA280603,49
PRJNA267853,47
PRJNA454678,46
PRJNA622727,46
PRJNA186682,46
PRJNA215166,46
PRJNA248110,46
PRJNA1011929,46
PRJNA306778,46
PRJNA314979,46
PRJNA284104,46
PRJNA484111,45
PRJNA215448,43
PRJNA149671,43
PRJNA802037,40
PRJNA699584,40
PRJNA1019363,39
PRJNA750934,39
PRJNA428472,37
PRJNA117263,37
PRJNA635882,37
PRJNA603806,37
PRJNA326566,36
PRJNA174124,35
PRJNA348553,35
PRJNA498090,35
PRJNA255870,34
PRJNA141095,33
PRJNA665188,33
PRJNA186950,33
PRJNA558733,33
PRJNA473337,33
PRJNA147283,33
PRJNA354264,33
PRJNA398395,33
PRJEB18263,32
PRJNA200315,32
PRJNA454017,31
PRJNA438125,31
PRJNA648491,31
PRJNA781535,31
PRJNA434023,29
PRJNA809476,29
PRJNA115495,27
PRJEB33589,25
PRJNA727303,24
PRJNA319661,22
PRJNA718567,18
PRJNA117657,18
PRJNA744531,16
PRJNA79813,15

